id_gene,id_string,up,down,gene,biotype,description
ENSG00000000457,9606.ENSP00000356746,True,True,SCYL3,protein_coding,SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]
ENSG00000000460,9606.ENSP00000286031,False,True,C1orf112,protein_coding,chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]
ENSG00000001036,9606.ENSP00000002165,False,True,FUCA2,protein_coding,alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]
ENSG00000002016,9606.ENSP00000351284,False,True,RAD52,protein_coding,"RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]"
ENSG00000002330,9606.ENSP00000378040,False,True,BAD,protein_coding,BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]
ENSG00000002587,9606.ENSP00000002596,False,True,HS3ST1,protein_coding,heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]
ENSG00000003436,9606.ENSP00000233156,False,True,TFPI,protein_coding,tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]
ENSG00000004468,9606.ENSP00000226279,False,True,CD38,protein_coding,CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]
ENSG00000004534,9606.ENSP00000266022,False,True,RBM6,protein_coding,RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]
ENSG00000004700,9606.ENSP00000416739,False,True,RECQL,protein_coding,RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]
ENSG00000004809,9606.ENSP00000357915,True,False,SLC22A16,protein_coding,solute carrier family 22 member 16 [Source:HGNC Symbol;Acc:HGNC:20302]
ENSG00000004975,9606.ENSP00000005340,False,True,DVL2,protein_coding,dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]
ENSG00000005007,9606.ENSP00000470142,True,False,UPF1,protein_coding,UPF1 RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]
ENSG00000005156,9606.ENSP00000367787,True,True,LIG3,protein_coding,DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]
ENSG00000005175,9606.ENSP00000005386,False,True,RPAP3,protein_coding,RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]
ENSG00000005469,9606.ENSP00000413575,False,True,CROT,protein_coding,carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]
ENSG00000006459,9606.ENSP00000380692,False,True,KDM7A,protein_coding,lysine demethylase 7A [Source:HGNC Symbol;Acc:HGNC:22224]
ENSG00000006576,9606.ENSP00000403042,False,True,PHTF2,protein_coding,putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]
ENSG00000006712,9606.ENSP00000221265,True,True,PAF1,protein_coding,"PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]"
ENSG00000006788,9606.ENSP00000404570,False,True,MYH13,protein_coding,myosin heavy chain 13 [Source:HGNC Symbol;Acc:HGNC:7571]
ENSG00000007516,9606.ENSP00000324510,False,True,BAIAP3,protein_coding,BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948]
