id_eggnog,id_string_HS,id_string_MM,id_string_DM,annotation
3B94A,9606.ENSP00000286713,10090.ENSMUSP00000028241,"7227.FBpp0078620,7227.FBpp0290937",regulation of acid-sensing ion channel activity
3B94T,9606.ENSP00000364289,10090.ENSMUSP00000030014,7227.FBpp0112173,primary miRNA processing
3B95V,9606.ENSP00000393139,10090.ENSMUSP00000031221,7227.FBpp0080603,double-strand break repair via break-induced replication
3B974,9606.ENSP00000410339,10090.ENSMUSP00000005817,7227.FBpp0085338,protein import into mitochondrial matrix
3B97M,9606.ENSP00000382269,10090.ENSMUSP00000136449,7227.FBpp0079663,E3 ubiquitin-protein ligase
3B9HR,"9606.ENSP00000303634,9606.ENSP00000367888",10090.ENSMUSP00000034713,7227.FBpp0291363,lipoprotein receptor-related protein
3B9HX,9606.ENSP00000419751,10090.ENSMUSP00000029131,7227.FBpp0074110,glutathione hydrolase activity
3B9JD,9606.ENSP00000370517,"10090.ENSMUSP00000059801,10090.ENSMUSP00000117030",7227.FBpp0087506,"Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis"
3B9N9,"9606.ENSP00000245407,9606.ENSP00000361666","10090.ENSMUSP00000019044,10090.ENSMUSP00000075814","7227.FBpp0076737,7227.FBpp0113136",organic anion transmembrane transporter activity
3B9NC,9606.ENSP00000304697,10090.ENSMUSP00000019649,"7227.FBpp0073035,7227.FBpp0305700",protein tag
3B9QU,9606.ENSP00000396301,10090.ENSMUSP00000007042,7227.FBpp0081475,protein localization to kinetochore
3B9XB,9606.ENSP00000347046,10090.ENSMUSP00000086485,7227.FBpp0289559,"3',5'-cyclic-GMP phosphodiesterase activity"
3BA0A,9606.ENSP00000428845,"10090.ENSMUSP00000022293,10090.ENSMUSP00000136273,10090.ENSMUSP00000137236",7227.FBpp0079773,Voltage-dependent anion-selective channel protein
3BA18,9606.ENSP00000378199,"10090.ENSMUSP00000007248,10090.ENSMUSP00000015800,10090.ENSMUSP00000079306","7227.FBpp0075504,7227.FBpp0082175",heat shock
3BA2A,9606.ENSP00000331209,10090.ENSMUSP00000136717,7227.FBpp0271924,Ester hydrolase C11orf54 homolog
3BA2V,9606.ENSP00000370128,"10090.ENSMUSP00000046714,10090.ENSMUSP00000096414",7227.FBpp0078206,cationic amino acid transporter
3BA39,9606.ENSP00000258080,"10090.ENSMUSP00000006367,10090.ENSMUSP00000087073",7227.FBpp0303078,pentacyclic triterpenoid metabolic process
3BA3F,9606.ENSP00000368566,"10090.ENSMUSP00000034046,10090.ENSMUSP00000104533",7227.FBpp0074844,medium-chain fatty acid-CoA ligase activity
3BA46,"9606.ENSP00000295736,9606.ENSP00000405812",10090.ENSMUSP00000023776,7227.FBpp0288814,sodium:bicarbonate symporter activity
