id_eggnog,id_string_HS,id_string_MM,id_string_DM,annotation
3B93Y,9606.ENSP00000353414,10090.ENSMUSP00000119242,7227.FBpp0289782,This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of calcium
3B943,9606.ENSP00000348381,"10090.ENSMUSP00000107370,10090.ENSMUSP00000109979",7227.FBpp0301121,Adducin 3 (Gamma)
3B94A,9606.ENSP00000286713,10090.ENSMUSP00000028241,"7227.FBpp0074440,7227.FBpp0078620,7227.FBpp0290937",regulation of acid-sensing ion channel activity
3B94T,9606.ENSP00000364289,10090.ENSMUSP00000030014,"7227.FBpp0070652,7227.FBpp0112173",primary miRNA processing
3B94U,9606.ENSP00000364589,10090.ENSMUSP00000016680,7227.FBpp0087897,Belongs to the cullin family
3B95U,9606.ENSP00000414398,10090.ENSMUSP00000126828,7227.FBpp0077720,unfolded protein binding
3B95V,9606.ENSP00000393139,10090.ENSMUSP00000031221,"7227.FBpp0070911,7227.FBpp0080603",double-strand break repair via break-induced replication
3B96H,"9606.ENSP00000295759,9606.ENSP00000396615","10090.ENSMUSP00000055803,10090.ENSMUSP00000109253","7227.FBpp0078861,7227.FBpp0081961",beta-galactosidase activity
3B96P,9606.ENSP00000249700,"10090.ENSMUSP00000072087,10090.ENSMUSP00000096152",7227.FBpp0297625,pointed-end actin filament capping
3B972,9606.ENSP00000418563,10090.ENSMUSP00000078602,7227.FBpp0071455,U2 snRNP-associated SURP
3B974,9606.ENSP00000410339,10090.ENSMUSP00000005817,"7227.FBpp0085338,7227.FBpp0305890",protein import into mitochondrial matrix
3B97G,9606.ENSP00000333275,"10090.ENSMUSP00000100927,10090.ENSMUSP00000109087",7227.FBpp0089291,steroid hormone receptor activity
3B97M,9606.ENSP00000382269,10090.ENSMUSP00000136449,7227.FBpp0079663,E3 ubiquitin-protein ligase
3B97V,9606.ENSP00000434442,"10090.ENSMUSP00000028691,10090.ENSMUSP00000064893",7227.FBpp0304160,Adp-ribosylation factor
3B984,9606.ENSP00000256509,10090.ENSMUSP00000086623,"7227.FBpp0078557,7227.FBpp0297081",Cell adhesion molecule
3B989,9606.ENSP00000292539,10090.ENSMUSP00000037356,7227.FBpp0074816,"protein phosphatase 1, regulatory"
3B98I,9606.ENSP00000398837,10090.ENSMUSP00000103789,7227.FBpp0082406,Histone-lysine N-methyltransferase
3B98K,9606.ENSP00000325485,"10090.ENSMUSP00000015858,10090.ENSMUSP00000023762",7227.FBpp0070899,Ceramide synthase
3B98M,9606.ENSP00000304467,10090.ENSMUSP00000005057,7227.FBpp0084123,metalloendopeptidase activity
3B98S,"9606.ENSP00000378414,9606.ENSP00000392617","10090.ENSMUSP00000021052,10090.ENSMUSP00000023759,10090.ENSMUSP00000030791",7227.FBpp0073572,chromatin disassembly
3B99C,9606.ENSP00000242776,"10090.ENSMUSP00000019576,10090.ENSMUSP00000134178",7227.FBpp0078754,negative regulation of DNA damage checkpoint
3B99E,9606.ENSP00000322845,10090.ENSMUSP00000022511,7227.FBpp0111770,zinc ion binding
3B99P,9606.ENSP00000295050,10090.ENSMUSP00000034467,7227.FBpp0073890,K63-linked polyubiquitin modification-dependent protein binding
3B9A2,9606.ENSP00000217446,10090.ENSMUSP00000076816,7227.FBpp0079294,attachment of GPI anchor to protein
3B9A9,9606.ENSP00000265107,10090.ENSMUSP00000037340,7227.FBpp0072033,enzyme binding
3B9AE,9606.ENSP00000336655,10090.ENSMUSP00000099361,7227.FBpp0110403,Ste20-related kinase
3B9BN,9606.ENSP00000283646,10090.ENSMUSP00000064158,7227.FBpp0296955,ribose-5-phosphate isomerase activity
3B9BT,9606.ENSP00000345719,10090.ENSMUSP00000028199,7227.FBpp0070658,chaperone cofactor-dependent protein refolding
3B9C0,9606.ENSP00000384651,10090.ENSMUSP00000099468,7227.FBpp0111901,phosphatidylinositol 5-phosphate metabolic process
